id,name,desc,url,icon,color,tags,status,baseUsers,baseLatency,lastSeen,featured
zoom,Zoom,Videokonference pro rychlý týmový provoz,https://zoom.us,video,blue,komunikace|videohovory|meeting,healthy,128,42,12 min ago,true
teams,MS Teams,Týmový chat a spolupráce,https://www.microsoft.com/microsoft-teams,users,purple,komunikace|produktivita|meeting,healthy,96,58,5 min ago,true
miro,Miro,Online tabule pro nápady a procesy,https://miro.com,layout-grid,yellow,produktivita|tým|brainstorming,warm,84,67,8 min ago,true
slack,Slack,Kanály pro rychlé rozhodování,https://slack.com,message-circle,gray,komunikace|produktivita|chat,healthy,144,38,2 min ago,true
whatsapp,WhatsApp,Rychlé zprávy a hovory,https://www.whatsapp.com,phone-call,green,komunikace|sociální|chat,healthy,211,31,1 min ago,true
youtube,YouTube,Video knihovna a stream,https://www.youtube.com,play-circle,red,zábava|video|stream,healthy,320,22,3 min ago,true
spotify,Spotify,Hudba a podcasty na pozadí dne,https://www.spotify.com,music,green,zábava|hudba|audio,healthy,176,26,6 min ago,true
chrome,Chrome,Rychlý webový prohlížeč,https://www.google.com/chrome,globe,gray,produktivita|nástroje|web,healthy,245,18,9 min ago,false
onedrive,OneDrive,Cloud pro sdílení souborů,https://www.microsoft.com/microsoft-365/onedrive,cloud,blue,produktivita|úložiště|cloud,warm,112,55,11 min ago,false
acrobat,Acrobat,Práce s PDF bez zbytečného hluku,https://acrobat.adobe.com,file-text,red,produktivita|nástroje|pdf,healthy,90,64,4 min ago,false
